id,%chg_lq_estabishments,%chg_total_emp,%chge_lq_total_qtrly_wages,%chge_lq_taxable_wages,%chge_avg_wkly_wage
124,9.71,1.455333333,1.61,1.454,1.088
125,10.75,1.410666667,1.454,0.53,1.036
126,15.52,1.158666667,1.318,3.424,1.13
127,9.63,0.905333333,0.994,1.416,1.126
128,20.67,1.232,1.31,1.856,1.08
129,8.51,1.197333333,1.224,0.448,0.99
130,12.75,1.145333333,1.14,1.048,0.996
131,5.45,0.974,1.048,0.7,1.08
132,6.98,0.718,0.764,1.008,1.098
133,7.76,0.876666667,0.924,0.776,1.06
134,10.24,1.241333333,1.37,1.698,1.096
135,15.73,0.811333333,0.784,0.864,0.994
136,10.63,1.039333333,1,1.582,0.946
137,10.75,1.357333333,1.59,1.402,1.102
138,4.86,1.093333333,1.166,0.746,1.064
139,15.81,1.236,1.328,1.838,1.06
140,20.87,1.225333333,1.312,1.542,1.098
141,5.28,0.838,0.946,0.798,1.152
142,9.94,0.91,0.914,0.816,0.958
143,7.65,0.845333333,0.902,0.458,1.076
144,13.69,1.266666667,1.282,0.41,1.03
145,10.39,1.31,1.306,0.998,1.022
146,13.93,0.789333333,0.83,0.466,1.058
147,10.57,0.872666667,0.864,0.934,1.014
148,19.63,1.733333333,1.934,2.334,1.026
149,14.92,1.603333333,1.562,1.748,0.946
150,8.52,1.856666667,2.012,0.82,1.052
151,10.83,0.828666667,0.938,0.822,1.184
152,22.59,1.292666667,1.43,2.746,1.104
153,14.82,1.152,1.238,3.522,1.066
154,15.5,0.572666667,0.556,0.394,0.582
155,13.36,2.544,2.952,1.666,0.994
156,17.96,1.076666667,0.834,1.186,0.79
157,13.35,1.394666667,1.446,1.344,1.058
158,6.66,0.939333333,1.028,1.506,1.108
159,16.81,0.936,0.976,1.436,1.048
160,15.15,0.826666667,0.856,0.616,1.064
161,9.04,0.896666667,0.984,0.85,1.106
162,10.41,0.878,0.776,0.99,0.852
163,15.91,1.094,1.178,1.712,1.088
164,22.72,1.622666667,2.006,2.77,1.188
165,23.85,0.936666667,0.814,1.624,0.854
166,34.69,0.850666667,0.97,0.2,0.68
167,9.97,1.418666667,1.472,1.666,1.062
168,19.49,1.346,1.43,2.472,1.044
169,11.78,1.191333333,1.306,1.528,1.078
170,15.21,1.171333333,1.228,0.606,1.048
171,13.23,1.042,1.018,0.848,0.976
172,12.5,1.136666667,1.184,1.036,1.056
173,6.52,1.078,1.092,0.58,1.022
174,17,1.206,1.306,2.216,1.084
175,5.8,1.551333333,1.704,0.488,1.046
176,13.05,1.028666667,1.058,1.118,1.034
177,11.87,1.854,2.446,1.748,1.124
178,4.62,0.884,0.974,1.08,1.09
179,15.85,1.032,1.18,1.368,1.176
180,21.77,1.289333333,1.504,2.27,1.16
181,5.39,0.878,0.922,0.498,1.056
182,13.82,1.128666667,1.19,1.764,1.068
183,13.84,1.080666667,1.116,2.37,1.058
184,16.03,1.175333333,1.33,1.962,1.11
185,8.07,0.891333333,0.768,0.484,0.864
186,11.05,0.954,0.95,2.376,1.014
187,4.1,1.130666667,1.318,0.514,1.128
188,7.13,0.829333333,0.86,1.068,1.032
189,17.39,1.175333333,1.202,3.418,1.04
190,15.93,0.956,1.1,0.786,1.158
191,2.79,0.233333333,0.228,0.2,0.37
192,3.6,0.914666667,0.956,0.504,1.028
193,16.97,0.399333333,0.374,0.382,0.496
194,13.43,1.870666667,2.326,2.904,1.066
195,8.49,1.030666667,1.224,1.042,1.132
196,9.35,1.152666667,1.508,0.75,1.214
197,7.84,0.969333333,1.122,2.298,1.158
198,3.15,0.782,0.794,0.5,0.974
199,16.05,2.118666667,2.534,3.462,1.064
200,4.64,0.882,0.982,1.322,1.1
201,5.62,1.115333333,1.308,0.682,1.168
202,7.19,1.024,1.214,0.696,1.252
203,11.27,1.268666667,1.59,1.888,1.184
204,5.85,1.447333333,2.034,0.872,1.286
205,17.32,1.684,2.03,3.564,1.114
206,6.98,1.229333333,1.488,0.522,1.174
207,9.3,1.76,2.03,1.772,1.084
208,5,0.988666667,1.164,2.772,1.16
209,31.37,4.413333333,4.656,2.69,0.994
210,3.17,0.826666667,0.904,0.44,1.092
211,7.7,1.094666667,1.304,1.482,1.11
212,3.95,0.796,0.788,0.456,0.924
213,12.5,2.056,2.652,0.486,1.212
214,6.13,0.932,1.12,1.434,1.19
215,4.68,1.035333333,1.346,0.586,1.282
216,21.39,1.870666667,2.284,2.038,1.228
217,10.98,1.01,1.394,0.656,1.334
218,6.24,1.174666667,1.474,0.564,1.214
219,8.28,0.917333333,1.052,0.428,1.104
220,5.23,0.939333333,1.122,0.808,1.088
221,3.1,0.727333333,0.782,0.45,1.082
222,3.84,0.688666667,0.76,0.972,1.056
223,10.26,1.522666667,1.768,1.936,1.15
224,3.67,0.896,1.158,0.724,1.278
225,14.2,1.652,2.128,0.558,1.134
226,5.05,0.862,1.072,0.402,1.116
227,4.44,0.942666667,1.126,0.588,1.19
228,3.74,1.110666667,1.166,0.538,1.064
229,4.22,1.048666667,0.892,0.442,0.854
230,5.7,0.956666667,1.112,0.604,1.134
231,7.94,1.141333333,1.38,0.45,1.13
232,3.09,0.642666667,0.556,0.442,0.726
233,4.16,1.010666667,1.188,0.532,1.164
234,3.6,0.688666667,0.582,0.42,0.736
235,3.84,1.017333333,1.236,0.598,1.168
236,7.4,1.041333333,1.242,0.874,1.186
237,24.11,2.539166667,3.175,12.2625,1.06
238,11.9,1.463333333,1.776,1.872,1.2
239,6.79,1.144666667,1.158,0.46,1.016
240,4.2,0.776666667,0.836,0.754,1.066
241,4.2,0.792666667,0.916,0.506,1.14
242,4.33,0.754666667,0.912,0.558,1.224
243,7.12,0.984666667,1.174,1.342,1.204
244,13.26,1.684,2.018,1.198,1.236
245,5.22,0.889333333,1.112,0.65,1.158
246,10.85,1.452,1.726,3.762,1.118
247,3.85,0.903333333,0.998,0.474,1.092
248,8.21,2.040666667,2.622,1.228,1.062
249,9.66,2.048666667,2.24,3.326,1.138
250,2.54,0.512,0.484,0.402,0.532
251,3.2,1.294,1.702,1.052,1.176
252,11.88,1.441333333,1.568,2.35,1.056
253,2.77,0.778,0.714,0.552,0.88
254,6.11,0.948666667,1.234,5.252,1.272
255,28.33,1.794666667,2.036,10.894,1.174
256,28.76,1.532666667,1.69,7.872,1.176
257,2.74,0.512,0.522,0.4,0.618
258,2.83,0.467333333,0.444,0.402,0.482
259,5.83,1.184,1.568,2.722,1.222
260,25.03,0.551333333,0.492,0.368,0.552
261,8.49,0.912666667,0.974,1.274,1.104
262,18.64,0.639333333,0.68,0.342,0.63
263,28.18,1.309333333,1.308,6.888,0.998
264,27.37,0.417333333,0.388,0.378,0.536
265,11.48,1.242,1.41,4.864,1.268
266,8.15,1.236,1.534,5.122,1.23
267,2.88,0.988666667,0.894,0.658,0.906
268,22.49,0.528,0.496,0.316,0.568
269,2.6,0.666,0.614,1.006,0.868
270,3.44,0.640666667,0.702,2.318,1.162
271,7.11,1.025333333,0.984,5.414,1.018
272,3.58,1.297333333,1.4,0.878,1.07
273,8.76,2.444,3.106,2.87,1.118
274,4.54,0.958,1.028,1.908,1.066
275,12.11,0.684,0.74,2.936,1.084
276,7.44,0.859333333,1.074,2.864,1.302
277,5.8,1.226666667,1.476,3.128,1.16
278,14.4,0.557333333,0.642,0.2,0.688
279,14.91,1.116666667,1.246,7.112,1.146
280,25.13,1.444666667,1.514,4.404,1.076
281,2.98,1.062666667,1.09,0.638,1.002
282,35.9,0.675333333,0.644,0.338,0.612
283,15.23,1.092,1.118,2.814,1.064
284,12.08,1.144,1.264,3.514,1.2
285,5.27,1.103333333,1.154,3.648,1.036
286,3.17,1.396666667,1.494,0.73,1.078
287,10.67,1.401333333,1.626,4.072,1.1
288,22.74,2.044666667,2.5,4.79,1.024
289,10.04,1.573333333,1.904,2.394,1.058
290,4.65,1.071333333,1.198,0.814,1.108
291,16.81,0.844,0.892,3.488,1.106
292,11.47,1.202666667,1.192,0.444,1
293,8.81,1.259333333,1.438,4.772,1.172
294,6.96,1.021333333,1.294,1.184,1.262
295,8.76,0.878,0.93,0.962,1.102
296,14.12,1.364666667,1.476,2.544,1.066
297,7.94,0.970666667,1.114,4.798,1.174
298,8.67,1.258,1.424,5.826,1.172
299,14.47,1.225333333,1.4,5.87,1.058
300,3.26,0.442666667,0.44,0.382,0.614
301,12.57,1.223333333,1.482,4.58,1.15
302,4.93,1.191333333,1.336,0.846,1.098
303,13.63,1.568666667,1.51,5.154,1.004
304,10.5,1.266,1.408,2.872,1.104
305,4.87,0.956,1.13,1.52,1.106
306,17.04,1.338,1.482,6.816,1.23
307,14.82,0.478,0.496,0.336,0.642
308,5.85,0.711333333,0.794,3.476,1.166
309,26.21,1.427333333,1.514,4.268,1.066
310,3.49,0.652,0.768,1.39,1.252
311,5.54,0.971333333,1.046,3.072,1.062
312,19.43,0.690666667,0.648,0.368,0.602
313,3.98,0.851333333,0.796,1.122,0.918
314,11.34,1.056666667,1.088,4.444,0.986
315,5.24,0.4775,0.4225,0.25,0.44
316,3.39,0.760666667,0.652,0.474,0.784
317,4.69,1.004666667,0.96,0.432,0.934
318,6.55,0.481333333,0.466,0.402,0.574
319,5.98,0.956666667,1.076,0.49,1.04
320,4.27,0.912666667,0.984,0.44,1.082
321,6.93,1.200666667,1.148,1.692,0.976
322,6.72,1.982666667,2.58,0.458,1.078
323,8.48,0.470666667,0.456,0.402,0.57
324,3.15,0.486666667,0.464,0.402,0.522
325,6.78,1.551333333,1.862,0.388,0.676
326,3.22,1,0.942,0.604,0.94
327,3.65,0.490666667,0.486,0.4,0.598
328,6.54,0.5375,0.4825,0.25,0.45
329,3.53,3.280666667,2.938,0.406,0.966
330,2.03,1.09,1.08,1.005,0.995
331,4.52,1.917333333,2.492,0.448,1.13
332,10.41,1.958666667,2.318,0.402,1.152
333,5.08,1.268666667,1.468,0.584,1.078
334,9.13,0.41,0.41,0.402,0.606
335,3.4,0.964,1.012,0.43,0.996
336,2.52,0.783333333,0.81,0.428,0.996
337,11.68,1.526,1.734,0.402,1.066
338,3.46,0.787333333,0.872,0.402,1.108
339,4,0.770666667,0.818,0.41,1.062
340,3.36,0.792,0.86,0.402,1.04
341,2.68,0.658,0.686,0.402,0.996
342,6.77,1.552666667,1.828,0.402,1.122
343,8.06,1.082,1.194,0.458,1.084
344,15.01,1.755333333,1.988,0.486,1.052
345,3.06,0.974,0.916,0.404,0.946
346,4.34,1.19,1.2,0.402,1.014
347,3.39,0.799333333,0.93,0.404,1.134
348,11.29,1.491333333,1.764,0.402,1.13
349,8.97,1.676666667,1.8,0.402,1.086
350,11,1.504666667,1.474,0.402,0.966
351,14.79,1.042,1.056,0.402,1.026
352,8.48,1.368,1.42,0.402,1.058
353,16.51,1.938,1.6,0.438,0.876
354,9.34,1.247333333,1.39,0.428,1.084
355,7.98,0.879333333,0.934,0.402,1.056
356,3.72,0.8,0.884,0.402,1.094
357,5.13,0.912,1.032,0.42,1.132
358,2.83,0.890666667,0.912,0.412,1.03
359,12.9,1.882,2.274,0.44,1.124
360,3.28,0.679333333,0.734,0.402,1.084
361,11.08,1.985333333,2.166,0.402,1.102
362,12.57,1.338666667,1.536,0.402,1.108
363,19.47,2.232666667,2.686,0.402,1.07
364,3.44,0.758666667,0.816,0.406,1.08
365,2.97,0.880666667,0.978,0.42,1.086
366,5.86,2.103333333,2.424,0.402,1.096
367,7.46,0.988,1.11,0.486,1.118
368,27.01,2.084,2.182,0.402,1.072
369,12.42,1.371333333,1.568,0.622,1.11
370,3.07,0.726666667,0.776,0.406,1.048
371,3.57,0.9,0.954,0.43,1.082
372,3.07,0.66,0.688,0.402,1.028
373,2.46,0.878,0.932,0.432,1.056
374,4.51,0.978,1.134,0.404,1.138
375,4.08,0.938,1.282,0.424,1.294
376,4.98,1.736666667,1.872,0.418,0.99
377,5.95,1.003333333,1.146,0.422,1.118
378,2.67,0.800666667,0.84,0.402,1.062
379,2.91,0.752,0.852,0.402,1.114
380,2.57,0.785333333,0.79,0.426,0.998
381,2.89,0.806666667,0.872,0.418,1.068
382,2.7,0.820666667,0.85,0.41,1.022
383,3.42,0.79,0.816,0.418,1.036
384,7.77,1.156,1.262,0.416,1.056
385,3.02,0.814,0.83,0.416,1.014
386,3.79,0.979333333,1.092,0.402,1.124
387,4.49,1.060666667,1.154,0.414,1.08
388,2.77,0.686,0.722,0.414,1.06
389,2.7,0.671333333,0.664,0.402,0.966
390,4.99,1.218,1.434,0.406,1.066
391,8.03,1.208666667,1.41,0.402,1.142
392,9.38,1.158666667,1.214,0.46,1.018
393,14.13,0.354666667,0.338,0.402,0.554
394,3.15,0.815333333,0.88,0.402,1.098
395,9.59,1.708,1.774,0.402,1.066
396,3.53,0.788,0.856,0.406,1.086
397,10.57,1.612666667,2,0.402,1.122
398,2.46,0.600666667,0.546,0.412,0.892
399,10.61,0.880666667,0.708,0.442,0.772
400,20.56,0.879333333,0.854,1.286,0.924
401,13.91,0.942,0.926,0.502,0.958
402,21.87,0.390666667,0.398,0.402,0.598
403,11.78,1.856,2.182,0.87,1.116
404,9.86,0.86,0.94,2.17,1.034
405,5.94,0.793333333,0.848,0.454,1.01
406,5.5,0.776666667,0.784,0.49,0.988
407,9.31,0.868666667,0.952,0.45,1.082
408,13.68,1.113333333,1.154,0.872,1.022
409,5.52,0.868666667,0.876,1.008,1.026
410,15.27,0.464666667,0.464,0.402,0.602
411,14.14,1.135333333,1.192,0.434,1.03
412,13.79,0.895333333,0.894,0.504,0.96
413,8.13,1.068666667,1.32,0.58,1.172
414,6.74,1.584666667,1.96,0.61,1.142
415,11.02,0.644,0.528,0.432,0.666
416,12.4,1.268,1.312,0.706,1.044
417,27.16,0.546,0.548,0.376,0.598
418,8.45,2.594,2.876,0.482,0.94
419,10.38,0.923333333,1.092,0.564,1.116
420,5.51,0.986666667,1.026,0.546,0.998
421,5.82,0.818666667,0.908,0.564,1.094
422,11.9,1.022,1.082,0.482,1.03
423,3.83,0.896666667,0.982,0.468,1.108
424,14.88,0.838666667,0.594,0.402,0.494
425,13.74,1.112666667,1.232,0.51,1.088
426,3.44,0.750666667,0.798,0.53,0.996
427,5.59,1.892,2.206,0.534,1.116
428,23.74,1.508,2.126,2.222,1.206
429,5.27,0.798,0.72,0.45,0.866
430,16.5,0.982,0.962,0.438,0.914
431,3.02,0.740666667,0.692,0.444,0.902
432,9.17,0.969333333,1.014,0.442,1.064
433,8.56,1.023333333,1.168,0.462,1.086
434,5.04,0.89,1.036,0.53,1.154
435,12.82,1.213333333,1.278,1.638,1.026
436,5.06,0.769333333,0.83,0.448,1.032
437,15.04,1.247333333,1.304,0.928,1.024
438,11.77,0.906,0.968,0.642,1.072
439,10.35,0.819333333,0.788,1.266,0.908
440,5.26,0.809333333,0.91,0.496,1.108
441,10.41,1.158,1.172,0.622,1
442,3.94,1.113333333,1.062,0.452,0.932
443,18.47,1.681333333,1.878,4.19,1.086
444,20.67,1.242666667,1.238,0.664,1.004
445,6.95,1.349333333,1.482,0.472,1.056
446,4.48,0.755333333,0.81,0.544,0.986
447,17.67,1.761333333,1.476,0.456,0.898
448,25.36,0.375333333,0.382,0.402,0.522
449,7.54,1.059333333,1.12,2.968,0.974
450,10.34,1.072,1.318,1.31,1.198
451,15.39,1.338666667,1.49,0.662,1.084
452,15.37,0.936666667,1.038,0.502,1.174
453,7.13,0.822666667,0.916,1.636,1.122
454,3.62,0.752,0.842,0.556,1.074
455,7.4,0.886666667,0.892,0.562,1.018
456,3.03,0.669333333,0.688,0.402,0.95
457,9.61,0.808666667,0.844,0.706,1.006
458,3.42,1.028,0.884,0.676,0.85
459,9.03,0.954,1.068,0.664,1.104
460,36.77,0.410666667,0.406,0.4,0.582
461,5.76,1.391333333,1.766,0.604,1.14
462,7.03,0.756666667,0.736,0.43,0.944
463,9.46,0.962666667,1.046,0.436,1.056
464,8.79,0.772666667,0.782,1.354,0.92
465,2.89,0.722,0.706,0.42,0.94
466,9.04,1.042666667,1.064,0.65,1.018
467,4.68,0.806666667,0.792,0.51,0.99
468,29.44,2.146,2.098,0.402,0.998
469,10.46,1.037333333,1.046,0.84,0.978
470,9.81,1.020666667,1.096,2.176,1.002
471,10.1,0.973333333,1,0.428,1.044
472,15.19,1.186,1.036,0.42,0.898
473,4.04,0.826666667,1.078,0.576,1.308
474,7.87,3.300666667,3.694,1.288,0.982
475,17.54,1.124666667,1.186,2.54,1.006
476,5.77,0.668666667,0.706,0.998,1.082
477,11.83,1.142,1.174,0.402,0.984
478,12.97,0.898666667,0.952,0.842,1.058
479,12.6,0.942666667,0.926,0.548,0.964
480,19.3,1.150666667,1.206,0.446,1.078
481,17.85,0.469333333,0.47,0.384,0.6
482,10.53,1.026666667,1.156,0.916,1.094
483,15.5,1.478666667,1.596,0.544,1.028
484,24.83,1.604,1.76,0.788,1.064
485,9.61,1.866,2.254,0.592,1.084
486,8.23,1.023333333,1.06,0.41,1.006
487,13.57,2.762666667,2.772,0.612,0.994
488,13.23,1.229333333,1.272,0.858,1
489,17.85,0.403333333,0.416,0.402,0.596
490,6.92,1.266,1.408,0.548,1.086
491,6.45,0.464,0.46,0.402,0.61
492,12.02,0.88,0.96,0.506,1.076
493,17.18,1.574666667,1.812,0.458,1.11
494,19.6,1.532,1.382,1.85,0.932
495,10.16,1.190666667,1.296,2.482,1
496,21.93,1.168,1.236,4.516,1.068
497,15.07,1.420666667,1.374,0.546,1.018
498,19.04,1.532666667,1.852,3.152,1.058
499,13.7,1.128666667,1.198,0.44,1.068
500,10.37,1.874666667,1.848,0.82,0.966
501,25.09,1.270666667,1.296,1.56,0.99
502,7.88,0.832,0.798,1.002,0.912
503,9.93,0.877333333,0.994,0.464,1.082
504,5.79,1.480666667,1.352,0.45,0.934
505,6.39,0.881333333,0.94,0.546,1.014
506,4.81,0.705333333,0.742,1.094,0.922
507,11.81,1.060666667,1.07,0.508,0.95
508,4.5,0.906,1.076,0.67,1.076
509,9.07,1.145333333,1.25,0.844,1.06
510,7.16,0.85,0.862,0.494,0.972
511,9.21,0.891333333,0.988,0.406,1.058
512,12.25,1.08,1.1,0.426,0.988
513,8.77,0.838,0.91,0.556,1.058
514,17.38,1.207333333,1.232,1.634,1.04
515,9.5,1.271333333,1.386,0.58,1.072
516,28.78,0.561333333,0.556,0.368,0.598
517,9.18,0.867333333,1.01,0.612,1.132
518,19.66,1.184666667,1.162,0.654,0.966
519,5.71,1.814666667,2.116,0.47,1.116
520,4.62,0.782666667,0.788,0.462,0.974
521,19.81,0.422666667,0.41,0.336,0.57
522,18.17,1.141333333,1.248,2.968,1.066
523,12.42,0.918666667,0.902,0.402,0.962
524,9.42,1.244,1.35,0.65,1.11
525,6.98,0.877333333,0.924,0.406,1
526,32.27,1.602,1.72,2.58,0.912
527,13.84,1.301333333,1.352,0.64,1.072
528,26.44,1.252,1.19,0.674,0.928
529,51.32,0.456666667,0.468,0.328,0.68
530,13.3,1.679333333,1.724,0.632,1.07
531,19.62,1.188666667,1.156,1.81,0.954
532,20.12,1.512,1.624,1.122,1.04
533,19.49,1.282666667,1.346,1.874,1.046
534,6.75,0.920666667,0.93,0.974,1.042
535,9.51,1.325333333,1.622,0.74,1.158
536,8.39,0.819333333,0.848,0.448,1.058
537,9.1,0.866,0.91,1.988,1.044
538,20.13,1.499333333,1.56,2.058,1.016
539,6.7,0.706666667,0.71,0.436,1
540,17.73,1.199333333,1.278,0.568,1.016
541,18.67,0.798,0.794,1.676,0.978
542,8.23,1.11,1.158,3.736,1.002
543,8.83,1.050666667,1.122,0.63,1.054
544,11.66,1.072,1.154,0.848,1.062
545,5.23,0.822666667,0.872,0.41,1.002
546,10.35,1.236666667,1.312,0.796,1.102
547,22.07,0.555333333,0.498,0.402,0.532
548,16.75,1.584,1.472,0.604,0.966
549,7.84,1.412666667,1.544,0.48,1.044
550,39.79,0.527333333,0.496,0.376,0.558
551,24.49,1.070666667,1.09,2.054,1.018
552,6.62,0.846666667,0.99,2.53,1.162
553,6.06,0.702,0.716,0.44,1.03
554,26.25,0.551333333,0.524,0.392,0.574
555,16.05,1.21,1.25,0.402,0.998
556,17.56,0.721333333,0.662,0.738,0.92
557,12.44,1.072,1.222,0.64,1.116
558,2.83,0.506666667,0.476,0.408,0.652
559,10.63,1.573333333,1.834,0.402,1.216
560,5.04,1.827333333,1.874,0.402,1.122
561,15.5,0.58,0.598,0.402,0.62
562,15.36,0.524666667,0.524,0.402,0.606
563,4.32,2.004444444,2.17,0.67,1.03
564,4.22,1.085333333,1.068,0.438,0.996
565,14.83,1.808,1.844,0.524,1.012
566,6.86,1.315333333,1.546,0.432,1.16
567,17.14,1.401333333,1.816,0.51,1.14
568,16.22,1.356666667,1.424,3.618,1.01
569,8.93,1.17,1.248,2.832,1.086
570,4.8,0.692,0.752,0.528,1.054
571,14.31,0.925333333,1.282,0.402,0.712
572,6.67,0.898,1.038,0.512,1.134
573,5.3,0.820666667,0.916,0.408,1.162
574,11.3,1.356,1.704,1.71,1.204
575,21.47,0.54,0.492,0.404,0.728
576,18.77,0.924,0.86,0.402,0.6
577,4.35,0.758,0.806,0.448,1.064
578,13.41,0.94,0.812,0.434,0.874
579,9.06,0.797333333,0.804,0.65,1.042
580,39.99,1.15,1.168,0.402,0.638
581,17.19,1.995333333,2.306,0.526,1.088
582,17.25,1.764666667,1.996,0.67,1.09
583,14.53,1.936666667,2.062,0.456,1.028
584,11,1.078,1.2,0.472,1.112
585,14.41,1.597333333,1.908,0.516,1.112
586,8.25,1.11,1.322,0.436,1.184
587,10.33,0.8,0.774,0.44,0.994
588,13.29,1.482,1.728,0.55,1.166
589,8.76,0.46,0.476,0.402,0.636
590,7.35,0.680666667,0.686,0.438,1.014
591,4.79,0.916,1.046,0.464,1.114
592,9.7,0.469333333,0.47,0.402,0.612
593,15.65,1.723333333,2.13,0.452,1.14
594,19.46,1.434,1.718,1.524,1.148
